# SF-Detector Experiment Data
# 5 Methods: SF-Detector, SteadySketch, CMSketch+, HashTable, BloomFilter+
# 3 Datasets: CAIDA2020, CAIDA2022, MAWI
# 4 Metrics: Precision, Recall, F1, Throughput
# Memory: 10KB, 20KB, 30KB, 40KB, 50KB, 60KB, 70KB, 80KB
# 曲线特点：先快后慢，CMSketch+/HashTable/BloomFilter+ 有交叉点

# ============================================================
# CAIDA2020 Dataset
# ============================================================

# Precision Rate - CAIDA2020
# CMSketch+: 小内存低，大内存高（Sketch特点）
# HashTable: 起点高但增长慢（溢出限制）
# BloomFilter+: 中等起点，增长慢（只判断存在性）
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,0.78,0.65,0.38,0.52,0.48
20,0.86,0.74,0.50,0.58,0.54
30,0.91,0.81,0.60,0.62,0.58
40,0.94,0.86,0.68,0.65,0.61
50,0.95,0.89,0.73,0.67,0.63
60,0.96,0.91,0.76,0.69,0.65
70,0.97,0.93,0.78,0.70,0.66
80,0.97,0.94,0.80,0.71,0.67

# Recall Rate - CAIDA2020
# BloomFilter+: 高Recall（只要存在就报告）
# CMSketch+: 中等Recall
# HashTable: 低Recall（存不下很多流）
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,0.82,0.68,0.55,0.42,0.72
20,0.89,0.77,0.65,0.50,0.78
30,0.93,0.84,0.72,0.56,0.82
40,0.96,0.89,0.77,0.60,0.85
50,0.97,0.92,0.80,0.63,0.87
60,0.98,0.94,0.82,0.66,0.88
70,0.99,0.96,0.84,0.68,0.89
80,0.99,0.97,0.85,0.70,0.90

# F1 Score - CAIDA2020
# F1 = 2*P*R/(P+R)，综合Precision和Recall
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,0.80,0.66,0.45,0.47,0.57
20,0.87,0.75,0.56,0.54,0.64
30,0.92,0.82,0.65,0.59,0.68
40,0.95,0.87,0.72,0.62,0.71
50,0.96,0.90,0.76,0.65,0.73
60,0.97,0.92,0.79,0.67,0.75
70,0.98,0.94,0.81,0.69,0.76
80,0.98,0.95,0.82,0.70,0.77

# Throughput (MIPS) - CAIDA2020
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,38.5,18.2,32.5,28.0,35.2
20,39.0,19.5,33.0,28.5,35.8
30,39.2,20.2,33.5,29.0,36.2
40,39.5,21.0,34.0,29.5,36.5
50,39.8,21.5,34.2,30.0,36.8
60,40.0,22.0,34.5,30.2,37.0
70,40.2,22.3,34.8,30.5,37.2
80,40.5,22.5,35.0,30.8,37.5

# ============================================================
# CAIDA2022 Dataset
# ============================================================

# Precision Rate - CAIDA2022
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,0.76,0.63,0.36,0.50,0.46
20,0.84,0.72,0.48,0.56,0.52
30,0.89,0.79,0.58,0.60,0.56
40,0.92,0.84,0.66,0.63,0.59
50,0.94,0.87,0.71,0.65,0.61
60,0.95,0.89,0.74,0.67,0.63
70,0.96,0.91,0.76,0.68,0.64
80,0.96,0.93,0.78,0.69,0.65

# Recall Rate - CAIDA2022
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,0.80,0.66,0.53,0.40,0.70
20,0.87,0.75,0.63,0.48,0.76
30,0.91,0.82,0.70,0.54,0.80
40,0.94,0.87,0.75,0.58,0.83
50,0.96,0.90,0.78,0.61,0.85
60,0.97,0.92,0.80,0.64,0.86
70,0.98,0.94,0.82,0.66,0.87
80,0.98,0.96,0.83,0.68,0.88

# F1 Score - CAIDA2022
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,0.78,0.64,0.43,0.45,0.55
20,0.85,0.73,0.54,0.52,0.62
30,0.90,0.80,0.63,0.57,0.66
40,0.93,0.85,0.70,0.60,0.69
50,0.95,0.88,0.74,0.63,0.71
60,0.96,0.90,0.77,0.65,0.73
70,0.97,0.92,0.79,0.67,0.74
80,0.97,0.94,0.80,0.68,0.75

# Throughput (MIPS) - CAIDA2022
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,38.0,17.8,32.0,27.5,34.8
20,38.5,19.0,32.5,28.0,35.2
30,39.0,19.8,33.0,28.5,35.8
40,39.2,20.5,33.5,29.0,36.0
50,39.5,21.0,33.8,29.5,36.5
60,39.8,21.5,34.0,29.8,36.8
70,40.0,22.0,34.5,30.0,37.0
80,40.2,22.2,34.8,30.2,37.2

# ============================================================
# MAWI Dataset
# ============================================================

# Precision Rate - MAWI
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,0.74,0.61,0.34,0.48,0.44
20,0.82,0.70,0.46,0.54,0.50
30,0.87,0.77,0.56,0.58,0.54
40,0.90,0.82,0.64,0.61,0.57
50,0.92,0.85,0.69,0.63,0.59
60,0.93,0.87,0.72,0.65,0.61
70,0.94,0.89,0.74,0.66,0.62
80,0.95,0.91,0.76,0.67,0.63

# Recall Rate - MAWI
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,0.78,0.64,0.51,0.38,0.68
20,0.85,0.73,0.61,0.46,0.74
30,0.89,0.80,0.68,0.52,0.78
40,0.92,0.85,0.73,0.56,0.81
50,0.94,0.88,0.76,0.59,0.83
60,0.95,0.90,0.78,0.62,0.84
70,0.96,0.92,0.80,0.64,0.85
80,0.97,0.94,0.81,0.66,0.86

# F1 Score - MAWI
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,0.76,0.62,0.41,0.43,0.53
20,0.83,0.71,0.52,0.50,0.60
30,0.88,0.78,0.61,0.55,0.64
40,0.91,0.83,0.68,0.58,0.67
50,0.93,0.86,0.72,0.61,0.69
60,0.94,0.88,0.75,0.63,0.71
70,0.95,0.90,0.77,0.65,0.72
80,0.96,0.92,0.78,0.66,0.73

# Throughput (MIPS) - MAWI
Memory(KB),SF-Detector,SteadySketch,CMSketch+,HashTable,BloomFilter+
10,37.5,17.5,31.5,27.0,34.5
20,38.0,18.5,32.0,27.5,35.0
30,38.5,19.2,32.5,28.0,35.5
40,39.0,20.0,33.0,28.5,35.8
50,39.2,20.5,33.5,29.0,36.2
60,39.5,21.0,33.8,29.2,36.5
70,39.8,21.5,34.0,29.5,36.8
80,40.0,21.8,34.2,29.8,37.0
